Invalid Date	Invalid Date	1/1/2000	0
8/9/2016	8/4/2016	8/14/2016	0
8/19/2016	8/14/2016	8/24/2016	0
8/29/2016	8/24/2016	9/3/2016	0
9/8/2016	9/3/2016	9/13/2016	0
9/18/2016	9/13/2016	9/23/2016	0
9/28/2016	9/23/2016	10/3/2016	0
10/8/2016	10/3/2016	10/13/2016	0
10/18/2016	10/13/2016	10/23/2016	0
10/28/2016	10/23/2016	11/2/2016	0
11/7/2016	11/2/2016	11/12/2016	0
11/17/2016	11/12/2016	11/22/2016	0
11/27/2016	11/22/2016	12/2/2016	0
12/7/2016	12/2/2016	12/12/2016	0
12/17/2016	12/12/2016	12/22/2016	0
12/27/2016	12/22/2016	1/1/2017	0
1/6/2017	1/1/2017	1/11/2017	0
1/16/2017	1/11/2017	1/21/2017	0
1/26/2017	1/21/2017	1/31/2017	0
2/5/2017	1/31/2017	2/10/2017	0
2/15/2017	2/10/2017	2/20/2017	0
2/25/2017	2/20/2017	3/2/2017	0
3/7/2017	3/2/2017	3/12/2017	0
3/17/2017	3/12/2017	3/22/2017	0
3/27/2017	3/22/2017	4/1/2017	0
4/6/2017	4/1/2017	4/11/2017	0
4/16/2017	4/11/2017	4/21/2017	0
4/26/2017	4/21/2017	5/1/2017	0
5/6/2017	5/1/2017	5/11/2017	0
5/16/2017	5/11/2017	5/21/2017	0
5/26/2017	5/21/2017	5/31/2017	0
6/5/2017	5/31/2017	6/10/2017	0
6/15/2017	6/10/2017	6/20/2017	0
6/25/2017	6/20/2017	6/30/2017	0
7/5/2017	6/30/2017	7/10/2017	0
7/15/2017	7/10/2017	7/20/2017	0
7/25/2017	7/20/2017	7/30/2017	0
8/4/2017	7/30/2017	8/9/2017	0
8/14/2017	8/9/2017	8/19/2017	0
8/24/2017	8/19/2017	8/29/2017	0
9/3/2017	8/29/2017	9/8/2017	0
9/13/2017	9/8/2017	9/18/2017	0
9/23/2017	9/18/2017	9/28/2017	0
10/3/2017	9/28/2017	10/8/2017	0
10/13/2017	10/8/2017	10/18/2017	0
10/23/2017	10/18/2017	10/28/2017	0
11/2/2017	10/28/2017	11/7/2017	0
11/12/2017	11/7/2017	11/17/2017	0
11/22/2017	11/17/2017	11/27/2017	0
12/2/2017	11/27/2017	12/7/2017	0
12/12/2017	12/7/2017	12/17/2017	0
12/22/2017	12/17/2017	12/27/2017	0
1/1/2018	12/27/2017	1/6/2018	0
1/11/2018	1/6/2018	1/16/2018	0
1/21/2018	1/16/2018	1/26/2018	0
1/31/2018	1/26/2018	2/5/2018	0
2/10/2018	2/5/2018	2/15/2018	0
2/20/2018	2/15/2018	2/25/2018	0
3/2/2018	2/25/2018	3/7/2018	0
3/12/2018	3/7/2018	3/17/2018	0
3/22/2018	3/17/2018	3/27/2018	0
4/1/2018	3/27/2018	4/6/2018	0
4/11/2018	4/6/2018	4/16/2018	0
4/21/2018	4/16/2018	4/26/2018	0
5/1/2018	4/26/2018	5/6/2018	0
5/11/2018	5/6/2018	5/16/2018	0
5/21/2018	5/16/2018	5/26/2018	0
5/31/2018	5/26/2018	6/5/2018	0
6/10/2018	6/5/2018	6/15/2018	0
6/20/2018	6/15/2018	6/25/2018	0
6/30/2018	6/25/2018	7/5/2018	0
7/10/2018	7/5/2018	7/15/2018	0
7/20/2018	7/15/2018	7/25/2018	230
7/30/2018	7/25/2018	8/4/2018	0
8/9/2018	8/4/2018	8/14/2018	0
8/19/2018	8/14/2018	8/24/2018	0
8/29/2018	8/24/2018	9/3/2018	0
9/8/2018	9/3/2018	9/13/2018	0
9/18/2018	9/13/2018	9/23/2018	0
9/28/2018	9/23/2018	10/3/2018	0
10/8/2018	10/3/2018	10/13/2018	0
10/18/2018	10/13/2018	10/23/2018	0
10/28/2018	10/23/2018	11/2/2018	0
11/7/2018	11/2/2018	11/12/2018	0
11/17/2018	11/12/2018	11/22/2018	0
11/27/2018	11/22/2018	12/2/2018	0
12/7/2018	12/2/2018	12/12/2018	0
12/17/2018	12/12/2018	12/22/2018	0
12/27/2018	12/22/2018	1/1/2019	0
1/6/2019	1/1/2019	1/11/2019	0
1/16/2019	1/11/2019	1/21/2019	0
1/26/2019	1/21/2019	1/31/2019	0
2/5/2019	1/31/2019	2/10/2019	0
2/15/2019	2/10/2019	2/20/2019	0
2/25/2019	2/20/2019	3/2/2019	0
3/7/2019	3/2/2019	3/12/2019	0
3/17/2019	3/12/2019	3/22/2019	0
3/27/2019	3/22/2019	4/1/2019	0
4/6/2019	4/1/2019	4/11/2019	0
4/16/2019	4/11/2019	4/21/2019	0
4/26/2019	4/21/2019	5/1/2019	0
5/6/2019	5/1/2019	5/11/2019	0
5/16/2019	5/11/2019	5/21/2019	0
5/26/2019	5/21/2019	5/31/2019	0
6/5/2019	5/31/2019	6/10/2019	0
6/15/2019	6/10/2019	6/20/2019	0
6/25/2019	6/20/2019	6/30/2019	0
7/5/2019	6/30/2019	7/10/2019	0
7/15/2019	7/10/2019	7/20/2019	0
7/25/2019	7/20/2019	7/30/2019	0
8/4/2019	7/30/2019	8/9/2019	0
8/14/2019	8/9/2019	8/19/2019	0
8/24/2019	8/19/2019	8/29/2019	0
9/3/2019	8/29/2019	9/8/2019	0
9/13/2019	9/8/2019	9/18/2019	0
9/23/2019	9/18/2019	9/28/2019	0
10/3/2019	9/28/2019	10/8/2019	0
10/13/2019	10/8/2019	10/18/2019	0
10/23/2019	10/18/2019	10/28/2019	0
11/2/2019	10/28/2019	11/7/2019	0
11/12/2019	11/7/2019	11/17/2019	0
11/22/2019	11/17/2019	11/27/2019	0
12/2/2019	11/27/2019	12/7/2019	0
12/12/2019	12/7/2019	12/17/2019	0
12/22/2019	12/17/2019	12/27/2019	0
1/1/2020	12/27/2019	1/6/2020	0
1/11/2020	1/6/2020	1/16/2020	0
1/21/2020	1/16/2020	1/26/2020	0
1/31/2020	1/26/2020	2/5/2020	0
2/10/2020	2/5/2020	2/15/2020	0
2/20/2020	2/15/2020	2/25/2020	0
3/1/2020	2/25/2020	3/6/2020	0
3/11/2020	3/6/2020	3/16/2020	0
3/21/2020	3/16/2020	3/26/2020	0
3/31/2020	3/26/2020	4/5/2020	0
4/10/2020	4/5/2020	4/15/2020	0
4/20/2020	4/15/2020	4/25/2020	0
4/30/2020	4/25/2020	5/5/2020	0
5/10/2020	5/5/2020	5/15/2020	0
5/20/2020	5/15/2020	5/25/2020	0
5/30/2020	5/25/2020	6/4/2020	0
6/9/2020	6/4/2020	6/14/2020	0
6/19/2020	6/14/2020	6/24/2020	0
6/29/2020	6/24/2020	7/4/2020	0
7/9/2020	7/4/2020	7/14/2020	0
7/19/2020	7/14/2020	7/24/2020	0
7/29/2020	7/24/2020	8/3/2020	0
8/8/2020	8/3/2020	8/13/2020	0
8/18/2020	8/13/2020	8/23/2020	0
8/28/2020	8/23/2020	9/2/2020	0
9/7/2020	9/2/2020	9/12/2020	0
9/17/2020	9/12/2020	9/22/2020	0
9/27/2020	9/22/2020	10/2/2020	0
10/7/2020	10/2/2020	10/12/2020	0
10/17/2020	10/12/2020	10/22/2020	1
10/27/2020	10/22/2020	11/1/2020	0
11/6/2020	11/1/2020	11/11/2020	0
11/16/2020	11/11/2020	11/21/2020	0
11/26/2020	11/21/2020	12/1/2020	0
12/6/2020	12/1/2020	12/11/2020	0
12/16/2020	12/11/2020	12/21/2020	0
12/26/2020	12/21/2020	12/31/2020	0
1/5/2021	12/31/2020	1/10/2021	0
1/15/2021	1/10/2021	1/20/2021	0
1/25/2021	1/20/2021	1/30/2021	0
2/4/2021	1/30/2021	2/9/2021	0
2/14/2021	2/9/2021	2/19/2021	0
2/24/2021	2/19/2021	3/1/2021	432
3/6/2021	3/1/2021	3/11/2021	0
3/16/2021	3/11/2021	3/21/2021	0
3/26/2021	3/21/2021	3/31/2021	0
4/5/2021	3/31/2021	4/10/2021	0
4/15/2021	4/10/2021	4/20/2021	0
4/25/2021	4/20/2021	4/30/2021	0
5/5/2021	4/30/2021	5/10/2021	0
5/15/2021	5/10/2021	5/20/2021	0
5/25/2021	5/20/2021	5/30/2021	0
6/4/2021	5/30/2021	6/9/2021	0
6/14/2021	6/9/2021	6/19/2021	0
6/24/2021	6/19/2021	6/29/2021	0
7/4/2021	6/29/2021	7/9/2021	0
7/14/2021	7/9/2021	7/19/2021	0
7/24/2021	7/19/2021	7/29/2021	0
8/3/2021	7/29/2021	8/8/2021	0
8/13/2021	8/8/2021	8/18/2021	0
8/23/2021	8/18/2021	8/28/2021	0
9/2/2021	8/28/2021	9/7/2021	0
9/12/2021	9/7/2021	9/17/2021	0
9/22/2021	9/17/2021	9/27/2021	0
10/2/2021	9/27/2021	10/7/2021	0
10/12/2021	10/7/2021	10/17/2021	0
10/22/2021	10/17/2021	10/27/2021	0
11/1/2021	10/27/2021	11/6/2021	0
11/11/2021	11/6/2021	11/16/2021	0
11/21/2021	11/16/2021	11/26/2021	0
12/1/2021	11/26/2021	12/6/2021	0
12/11/2021	12/6/2021	12/16/2021	0
12/21/2021	12/16/2021	12/26/2021	0
12/31/2021	12/26/2021	1/5/2022	0
1/10/2022	1/5/2022	1/15/2022	0
1/20/2022	1/15/2022	1/25/2022	0
1/30/2022	1/25/2022	2/4/2022	0
2/9/2022	2/4/2022	2/14/2022	0
2/19/2022	2/14/2022	2/24/2022	0
3/1/2022	2/24/2022	3/6/2022	0
3/11/2022	3/6/2022	3/16/2022	0
3/21/2022	3/16/2022	3/26/2022	0
3/31/2022	3/26/2022	4/5/2022	0
4/10/2022	4/5/2022	4/15/2022	0
4/20/2022	4/15/2022	4/25/2022	0
4/30/2022	4/25/2022	5/5/2022	0
5/10/2022	5/5/2022	5/15/2022	0
5/20/2022	5/15/2022	5/25/2022	0
5/30/2022	5/25/2022	6/4/2022	0
6/9/2022	6/4/2022	6/14/2022	0
6/19/2022	6/14/2022	6/24/2022	0
6/29/2022	6/24/2022	7/4/2022	0
7/9/2022	7/4/2022	7/14/2022	0
7/19/2022	7/14/2022	7/24/2022	0
7/29/2022	7/24/2022	8/3/2022	0
8/8/2022	8/3/2022	8/13/2022	293
8/18/2022	8/13/2022	8/23/2022	30
8/28/2022	8/23/2022	9/2/2022	0
9/7/2022	9/2/2022	9/12/2022	0
9/17/2022	9/12/2022	9/22/2022	0
9/27/2022	9/22/2022	10/2/2022	0
10/7/2022	10/2/2022	10/12/2022	0
10/17/2022	10/12/2022	10/22/2022	0
Invalid Date	10/22/2022	Invalid Date	0
